City Name,Lat,Lon,Population
   Marksville,31.1245,-92.0652,7273
   Knoxville,41.3188,-93.1024,7273
   Morrow,33.5816,-84.3391,7276
   Gonzales,29.5126,-97.4472,7279
   Canfield,41.0315,-80.7672,7284
   Hudsonville,42.8634,-85.8626,7285
   Bossembele,5.267,17.65,7287
   Williston Park,40.7588,-73.6465,7289
   Ephrata,47.3119,-119.5342,7289
   De Soto,38.141,-90.5609,7290
   Crossett,33.1284,-91.9631,7295
   Jackson,38.3485,-120.7724,7297
   New Cumberland,40.2297,-76.8764,7299
   Leeton,-34.5449,146.3973,7299
   Riverdale Park,38.9645,-76.9265,7304
   Osakarovka,50.5799,72.5699,7305
   Flatwoods,38.5209,-82.7195,7311
   Forsyth,36.6922,-93.1101,7315
   Marshfield,37.3414,-92.9116,7318
   Midland Park,40.9952,-74.141,7319
   Vandalia,38.9754,-89.1117,7320
   Guadalupe,34.9608,-120.5735,7321
   Paintsville,37.8169,-82.8068,7323
   Longboat Key,27.3926,-82.6341,7326
   Edgerton,42.8385,-89.0698,7327
   Delphos,40.8481,-84.3369,7328
   Ralston,41.2005,-96.0354,7329
   Salum,31.567,25.15,7330
   Goranboy,40.6103,46.7897,7333
   Luan Chau,21.74,103.343,7335
   Neptune Beach,30.3165,-81.4118,7337
   Clarkston,46.4154,-117.0501,7341
   Northport,40.9036,-73.3446,7342
   Valley Center,37.8325,-97.3647,7343
   Inverness,28.8397,-82.3437,7347
   Park City,42.3521,-87.8917,7350
   Sanibel,26.4535,-82.1024,7351
   Sandwich,41.6496,-88.6175,7358
   West Dundee,42.0984,-88.3072,7361
   Susuman,62.7833,148.1668,7367
   Oak Grove,36.6686,-87.4216,7370
   Milan,35.9127,-88.7556,7371
   Dunellen,40.5902,-74.4656,7374
   Tyrone,40.6764,-78.246,7376
   Reyes,-14.3096,-67.37,7376
   Grove,36.5925,-94.7885,7387
   Torrington,42.0658,-104.1621,7389
   Pingree Grove,42.0857,-88.4362,7391
   Neiafu,-18.6496,-173.9833,7391
   Carnarvon,-24.8998,113.6501,7392
   McCook,40.2046,-100.6214,7393
   Minnetrista,44.9355,-93.7103,7397
   Lander,42.8313,-108.7599,7397
   Corbin,36.9321,-84.1004,7398
   El Alamein,30.8171,28.95,7400
   Albertville,45.2365,-93.6617,7401
   LaFayette,34.7088,-85.2815,7403
   New Bremen,40.4348,-84.3778,7405
   Mahmud-E Eraqi,35.0167,69.3333,7407
   Payette,44.079,-116.9256,7414
   Geneva,41.8003,-80.9461,7415
   Hughson,37.6026,-120.8661,7417
   Coracora,-15.0196,-73.79,7420
   Piedmont,35.6784,-97.7528,7422
   Pinson,33.7064,-86.6654,7426
   Waite Park,45.5323,-94.244,7428
   Florence,38.3821,-105.1117,7431
   Yreka,41.7292,-122.6312,7433
   Hatboro,40.1775,-75.1054,7434
   Connellsville,40.0158,-79.5899,7437
   Charlestown,38.427,-85.6677,7438
   Kasson,44.0328,-92.7483,7443
   Mount Horeb,43.0061,-89.7317,7448
   Holtville,32.8129,-115.3779,7449
   Aztec,36.8189,-107.9823,7452
   Beebe,35.0713,-91.9002,7453
   Herkimer,43.0282,-74.9928,7455
   Cotati,38.3278,-122.7092,7455
   Wynne,35.2324,-90.7897,7455
   Crystal City,28.691,-99.8257,7459
   Webster City,42.4623,-93.8167,7459
   West Miami,25.7578,-80.2969,7459
   Gaoual,11.754,-13.213,7461
   Wildwood,28.8004,-82.0051,7464
   Fairlawn,41.127,-81.6212,7466
   Villa Hills,39.0656,-84.5951,7468
   Mammoth Lakes,37.6273,-118.99,7469
   Igarka,67.4671,86.5833,7470
   Tranqueras,-31.2,-55.75,7474
   Stans,46.95,8.3833,7475
   River Rouge,42.2731,-83.1246,7482
   Altoona,44.8029,-91.4387,7489
   Delafield,43.0717,-88.391,7494
   Chehalis,46.6649,-122.966,7498
   Rockton,42.45,-89.0631,7499
   Yarmouth,43.8308,-66.1126,7500
   Young,-34.3096,148.29,7501
   Aberdeen,35.1345,-79.4314,7502
   Banff,51.178,-115.5719,7502
   Richfield,38.7628,-112.0927,7507
   Charles City,43.0644,-92.6745,7510
   Palmyra,40.31,-76.5944,7510
   New London,44.395,-88.7393,7512
   Mount Shasta,41.3206,-122.315,7513
   Wellington,37.2621,-97.428,7513
   Roatan,16.33,-86.519,7514
   Old Town,44.9491,-68.7249,7518
   Round Lake Park,42.3311,-88.0752,7519
   Marengo,42.2311,-88.6156,7525
   Lamar,38.0739,-102.6155,7525
   Calipatria,33.1488,-115.5058,7526
   Pembroke,34.6777,-79.1945,7526
   Ashland,40.7811,-76.3451,7526
   Monticello,41.6519,-74.6874,7527
   Purcell,35.018,-97.3747,7528
   Saranac Lake,44.3245,-74.1314,7529
   Hampton,33.3834,-84.2853,7532
   Montpelier,44.2658,-72.5717,7535
   Urubamba,-13.3042,-72.1166,7540
   Inverness,42.1152,-88.1019,7541
   Dunbar,38.3688,-81.7345,7543
   Haddon Heights,39.8791,-75.0646,7544
   Manhattan,41.4274,-87.9803,7546
   Mitla,16.917,-96.4,7547
   Escalon,37.7911,-120.9981,7548
   Carbondale,39.3946,-107.2145,7549
   Osceola,35.6947,-89.993,7563
   Hubbard,41.1593,-80.5682,7579
   Nolensville,35.9594,-86.6754,7580
   Ojai,34.4487,-119.2469,7585
   Silvis,41.4978,-90.4101,7586
   Rathdrum,47.7992,-116.8911,7587
   Fort Scott,37.8286,-94.7037,7588
   Clarksville,35.4567,-93.4808,7589
   Berlin,39.7914,-74.9373,7594
   Waupaca,44.3508,-89.0719,7598
   Fairfax,37.9884,-122.595,7598
   Pittston,41.3274,-75.7885,7602
   Auburn,34.0151,-83.8316,7603
   Brighton,42.5298,-83.7848,7604
   Baldwinsville,43.157,-76.3318,7605
   Whiteville,34.3306,-78.7014,7605
   Clover,35.1124,-81.2201,7607
   Creston,41.0597,-94.365,7612
   Centerville,32.6341,-83.6854,7615
   Bansang,13.4336,-14.65,7615
   Kronenwetter,44.8163,-89.5806,7619
   Marshall,42.2619,-84.9599,7625
   Pulaski,35.1934,-87.0354,7630
   Park City,37.8103,-97.3255,7632
   Winters,38.532,-121.9781,7637
   Philadelphia,32.7761,-89.1221,7639
   Hastings,42.6498,-85.2886,7640
   Glen Ridge,40.804,-74.2043,7642
   Shorewood,44.9161,-93.5743,7642
   Guide,36.0451,101.4242,7642
   Quincy,47.2342,-119.8512,7644
   Seminole,32.7215,-102.6504,7648
   Ashland,37.7597,-77.4715,7649
   South Beloit,42.4821,-89.0249,7652
   Bentiu,9.2333,29.8333,7653
   Bayghanin,48.6917,55.874,7657
   Diamondhead,30.3791,-89.3707,7661
   Scotia,42.8322,-73.9607,7664
   Bonner Springs,39.0817,-94.8778,7665
   Revelstoke,51.0005,-118.1833,7668
   Emerson,40.9749,-74.0239,7669
   Benton,38.011,-88.9179,7671
   Seville,41.0209,-81.8671,7673
   Hales Corners,42.941,-88.0492,7674
   Sebastopol,38.4001,-122.8277,7678
   Las Lomitas,-24.6996,-60.6,7683
   Castillos,-34.1696,-53.83,7686
   New Roads,30.6959,-91.4537,7687
   Estes Park,40.3701,-105.5214,7691
   Orting,47.0967,-122.2113,7693
   Swainsboro,32.5866,-82.3345,7699
   Gettysburg,39.8304,-77.2339,7700
   Fanwood,40.6417,-74.3857,7700
   Duvall,47.7354,-121.9726,7701
   White Oak,40.3415,-79.8007,7707
   Quarryville,39.8957,-76.1617,7716
   Wapato,46.4435,-120.4213,7723
   Gilberts,42.1096,-88.3716,7724
   York,40.8708,-97.5947,7724
   Kalabo,-14.9896,22.68,7731
   Perry,41.838,-94.094,7734
   Seaford,38.6539,-75.6118,7736
   Caribou,46.8662,-67.9919,7736
   River Oaks,32.7767,-97.3984,7740
   Breckenridge,39.4997,-106.0433,7741
   Milan,42.082,-83.6847,7742
   Pahokee,26.8205,-80.6613,7745
   Punta Gorda,16.1003,-88.81,7748
   Clear Lake,43.1346,-93.374,7751
   Victor Harbor,-35.5596,138.6173,7760
   Moengo,5.63,-54.41,7766
   Selah,46.648,-120.5388,7768
   Carl Junction,37.1669,-94.5468,7772
   Robinson,39.0089,-87.733,7774
   Falmouth,18.4796,-77.656,7779
   Butler,40.9991,-74.3472,7779
   Chosan,40.8255,125.8008,7786
   Wilson,40.6844,-75.2407,7786
   Calumet Park,41.665,-87.6578,7787
   San Juan del Sur,11.25,-85.86,7790
   Antigo,45.1409,-89.1551,7791
   Port Jefferson,40.9465,-73.0579,7794
   Oakdale,30.8157,-92.6542,7801
   Covington,37.7786,-79.9868,7804
   Roanoke,33.015,-97.2267,7804
   Bernardsville,40.7268,-74.5919,7805
   Hitchcock,29.2945,-95.025,7805
   Grand Ledge,42.7546,-84.7435,7807
   Marion,36.8389,-81.5135,7808
   Woodlake,36.4124,-119.0998,7818
   Broadview,41.8584,-87.8562,7823
   Sheboygan Falls,43.7289,-87.8262,7824
   Rockmart,34.0103,-85.0442,7827
   Salem,40.054,-111.6722,7831
   Colonie,42.7199,-73.8333,7838
   Kennedale,32.6434,-97.2173,7840
   Mascoutah,38.5191,-89.8045,7840
   Olivette,38.6725,-90.3784,7844
   Middletown,38.241,-85.5215,7845
   Delta,38.7561,-108.0772,7847
   Grantsville,40.6148,-112.4777,7848
   Dilolo,-10.6996,22.3333,7854
   Wyoming,45.3365,-92.9765,7856
   Jasper,30.9221,-93.9947,7860
   Dryden,49.7833,-92.8333,7862
   Maplewood,38.6121,-90.3241,7868
   Crookston,47.7747,-96.6062,7875
   Norwich,42.5333,-75.5227,7880
   Lake Dallas,33.1277,-97.0234,7881
   Big Stone Gap,36.8615,-82.7774,7885
   Esperance,-33.8573,121.8889,7888
   Erseke,40.3333,20.6833,7890
   Jersey Village,29.8903,-95.5721,7892
   Maryville,38.7264,-89.9643,7904
   Canal Winchester,39.8432,-82.8121,7905
   Downingtown,40.0076,-75.7019,7905
   Port Maria,18.377,-76.9,7906
   Gracias,14.5833,-88.5833,7909
   Ellsworth,44.5847,-68.4875,7911
   Carnegie,40.408,-80.0861,7913
   Batesville,39.2974,-85.2139,7922
   Sallisaw,35.4609,-94.807,7922
   Eaton,39.7506,-84.6342,7922
   Campbell,41.0777,-80.5904,7923
   Fulshear,29.6931,-95.8792,7925
   Keflavik,64.0166,-22.5666,7930
   Port Wentworth,32.1941,-81.1983,7933
   Camp Hill,40.2422,-76.9274,7934
   Columbiana,40.8871,-80.675,7940
   Blair,41.5417,-96.1361,7941
   Senmonorom,12.45,107.2,7944
   Grand Blanc,42.9258,-83.6182,7954
   Aspen,39.1948,-106.837,7956
   Illizi,26.4834,8.4666,7957
   Ripon,43.8436,-88.8386,7961
   West Long Branch,40.2883,-74.0186,7963
   Bajram Curri,42.3333,20.0833,7967
   Milton,47.2522,-122.3153,7970
   Princeton,41.3815,-89.4649,7978
   Conshohocken,40.0772,-75.3035,7982
   Rio Bravo,27.3648,-99.482,7990
   Medina,43.2197,-78.3888,7993
   Oak Grove,39.0074,-94.1278,7994
   Brooksville,28.5404,-82.3901,7999
   El Calafate,-50.3333,-72.3,8000
   Old Forge,41.3705,-75.7409,8000
   Brentwood,38.6194,-90.3476,8000
   Oldeani,-3.3496,35.55,8000
   Latrobe,40.3125,-79.3826,8003
   Logan,39.5386,-82.4063,8003
   Celina,33.3201,-96.7854,8006
   Raritan,40.573,-74.6432,8007
   Oberlin,41.2857,-82.2197,8009
   Orono,44.9647,-93.5904,8009
   Firebaugh,36.8533,-120.4536,8015
   Caldwell,40.839,-74.2777,8018
   Kontcha,7.967,12.2333,8018
   La Junta,37.9797,-103.5473,8020
   Deniliquin,-35.5296,144.95,8024
   Jefferson,43.0042,-88.8084,8024
   Willits,39.405,-123.3494,8026
   Hyrum,41.6317,-111.8439,8027
   Flushing,43.0637,-83.8403,8029
   Salem,38.6278,-88.9582,8029
   Briarcliff Manor,41.14,-73.844,8032
   Albion,43.246,-78.1902,8044
   Qusmuryn,52.458,64.6,8049
   Uliastay,47.75,96.8167,8056
   Tillamook,45.4561,-123.8346,8061
   Cheraw,34.6978,-79.8988,8061
   Brookhaven,39.8715,-75.3918,8066
   Puerto Aisen,-45.3999,-72.7,8067
   Oak Brook,41.8373,-87.9512,8070
   Rabaul,-4.2055,152.1434,8074
   Island Lake,42.2783,-88.2001,8077
   Fletcher,35.4315,-82.5038,8079
   Hillside,41.8674,-87.9019,8081
   Abingdon,36.7089,-81.9711,8083
   Dalhart,36.0579,-102.5123,8083
   Chardon,41.5803,-81.2081,8096
   Poteau,35.0431,-94.6356,8100
   Frostproof,27.7492,-81.5251,8103
   Mount Joy,40.1105,-76.5065,8104
   South Boston,36.7131,-78.9135,8109
   Brazil,39.5232,-87.1244,8110
   Almirante,9.3,-82.4,8114
   Putina,-15.47,-69.43,8118
   Richland Hills,32.8095,-97.2273,8121
   Dalnegorsk,44.5372,135.5172,8123
   Ivins,37.1742,-113.6809,8132
   Chestnut Ridge,41.083,-74.0552,8135
   Ndalatando,-9.2995,14.91,8144
   Long Grove,42.197,-88.0059,8147
   Hawthorn Woods,42.2315,-88.0622,8164
   Bridge City,30.0298,-93.8406,8165
   Pikeville,37.4808,-82.5261,8169
   Crete,41.4398,-87.623,8171
   Bellevue,40.4945,-80.055,8172
   Bloomingdale,41.03,-74.3319,8173
   Pewaukee,43.0853,-88.2523,8176
   Savoy,40.06,-88.2552,8177
   Trinidad,37.1748,-104.4907,8178
   Bellevue,41.2744,-82.8396,8178
   Monona,43.054,-89.3334,8179
   Vinton,37.2747,-79.8886,8185
   New Prague,44.5459,-93.5758,8186
   Pleasant Hills,40.3298,-79.9596,8189
   Oakland,35.2256,-89.5377,8193
   Kenilworth,40.6782,-74.289,8194
   Qarqaraly,49.4249,75.4649,8195
   Pismo Beach,35.1492,-120.6506,8198
   Baxter,46.342,-94.28,8198
   Yeghegnadzor,39.7611,45.3333,8200
   Moree,-29.4699,149.8301,8203
   Omak,48.4214,-119.5178,8208
   Mahtomedi,45.0616,-92.9662,8211
   Zhanibek,49.4276,46.8772,8212
   Oradell,40.9562,-74.0314,8219
   Aiquile,-18.1895,-65.18,8224
   Colorado City,36.9774,-112.983,8227
   Castle Shannon,40.3664,-80.0194,8228
   Hillsboro,32.0092,-97.1151,8234
   Croton-on-Hudson,41.2005,-73.9002,8243
   Olovyannaya,50.95,115.5666,8247
   Denison,42.016,-95.3528,8249
   Morehead,38.1906,-83.4466,8252
   York,34.9968,-81.2348,8260
   Whitehouse,32.2228,-95.2222,8269
   Menominee,45.1219,-87.6235,8279
   Doylestown,40.314,-75.128,8280
   Cheviot,39.1578,-84.6138,8283
   Alamo Heights,29.4828,-98.4681,8284
   Waynesburg,39.8983,-80.1855,8285
   Fort Mitchell,39.0459,-84.5562,8286
   Saint Joseph,42.0969,-86.4849,8288
   Absecon,39.4221,-74.4941,8295
   Center Line,42.4805,-83.0273,8297
   Kenton,40.6447,-83.6099,8298
   Somers,42.6403,-87.9104,8300
   Arab,34.3309,-86.499,8300
   Bath,43.9346,-69.8346,8303
   Johnstown,43.0073,-74.3755,8309
   Holly,42.7987,-83.6233,8309
   Star,43.7019,-116.4939,8313
   Masindi-Port,1.7004,32.0699,8319
   McFarland,43.0192,-89.2922,8320
   Petoskey,45.365,-84.9886,8323
   Spanish Fort,30.7257,-87.8602,8327
   Rio Vista,38.1762,-121.7034,8331
   Conover,35.7156,-81.2169,8331
   Jefferson City,36.1196,-83.484,8335
   Middleport,38.9948,-82.0643,8338
   Brokopondo,5.0404,-55.02,8340
   Fairview,33.1401,-96.6123,8354
   New Square,41.1411,-74.0294,8357
   Mount Pleasant,40.9622,-91.5453,8360
   Gering,41.8275,-103.6649,8360
   Tecumseh,42.0066,-83.9451,8362
   Bridgeport,39.3036,-80.2476,8364
   Aurora,36.968,-93.7199,8364
   Pleasant Hill,38.8061,-94.2654,8376
   Dormont,40.3941,-80.0377,8381
   Runnemede,39.8521,-75.074,8382
   Boonton,40.9047,-74.4048,8382
   Millersville,40.0047,-76.3522,8383
   Wetumpka,32.5406,-86.2054,8383
   Black Mountain,35.6142,-82.3275,8384
   Montesano,47.0108,-123.5868,8385
   Aleg,17.058,-13.909,8388
   Richmond Heights,38.6309,-90.3332,8389
   Savannah,35.2211,-88.2356,8391
   Aransas Pass,27.8881,-97.1128,8393
   Haledon,40.9363,-74.1886,8395
   Clinton,40.1469,-88.9635,8395
   Mason,42.5805,-84.4426,8395
   Sturgeon Bay,44.8228,-87.366,8396
   Gridley,39.3622,-121.6972,8396
   Highland Heights,41.5518,-81.4691,8397
   Prairie du Sac,43.2922,-89.7337,8397
   Alliance,42.1021,-102.8768,8397
   Gaylord,45.0211,-84.6799,8399
   Katakwi,1.8911,33.9661,8400
   Corning,39.9282,-122.182,8409
   Northfield,39.3723,-74.5556,8410
   Thomson,33.4666,-82.4993,8414
   Decorah,43.3018,-91.7849,8415
   Vallegrande,-18.4896,-64.11,8422
   Ripley,35.7446,-89.5359,8422
   Melissa,33.2896,-96.5554,8423
   Chester,37.9199,-89.826,8425
   Wellington,40.7,-105.0059,8428
   Spotswood,40.3952,-74.3915,8429
   Tuskegee,32.4395,-85.7139,8430
   Napoleon,41.3978,-84.1244,8432
   Tuscumbia,34.7204,-87.7035,8434
   Hoquiam,46.9857,-123.9006,8434
   Guntersville,34.3674,-86.2634,8437
   Sheridan,45.0956,-123.3972,8439
   Heath,32.8443,-96.4679,8440
   Monahans,31.6291,-103.0414,8442
   Monticello,40.7455,-86.7668,8445
   Achacachi,-16.0833,-68.6666,8447
   Gonzales,36.5061,-121.4429,8447
   Mount Rainier,38.9426,-76.9645,8455
   Goundam,16.417,-3.6666,8456
   Geneseo,42.799,-77.8095,8461
   Evinayong,1.45,10.5667,8462
   Blanchard,35.1523,-97.6612,8463
   Hooper,41.1598,-112.287,8466
   Covington,35.5656,-89.648,8469
   Paw Paw,42.2148,-85.892,8472
   Perkasie,40.3719,-75.292,8479
   North Haledon,40.9627,-74.1845,8491
   Saint Johns,43.0008,-84.5557,8491
   Oranjemund,-28.5495,16.43,8496
   Sunset Hills,38.531,-90.4088,8497
   Carbondale,41.5714,-75.5048,8498
   Kirkwall,58.967,-2.95,8500
   Los Altos Hills,37.3672,-122.1391,8501
   Susanville,40.4206,-120.6129,8506
   Montvale,41.053,-74.0497,8506
   Bogota,40.8753,-74.0293,8507
   Fountain Inn,34.6988,-82.1991,8513
   Wyoming,39.2295,-84.4814,8517
   Elsmere,38.9949,-84.6017,8520
   Lindstrom,45.3869,-92.8475,8521
   Detroit Lakes,46.8057,-95.8436,8528
   Paris,39.6148,-87.6905,8528
   Zimmerman,45.4415,-93.5977,8530
   Westwego,29.9058,-90.1434,8533
   Des Peres,38.5973,-90.4481,8540
   Willowbrook,41.7635,-87.9456,8543
   Humboldt,35.8254,-88.9045,8543
   Aqsu,52.4502,71.9597,8543
   Oak Hill,37.9889,-81.1467,8544
   Malverne,40.6746,-73.6721,8544
   Oak Grove,45.3407,-93.3264,8545
   Wagoner,35.9641,-95.3791,8547
   Harwood Heights,41.9663,-87.8057,8549
   Morrisville,40.2074,-74.7797,8552
   Socorro,34.0544,-106.9064,8554
   Chos Malal,-37.383,-70.2666,8556
   Inverell,-29.7668,151.1126,8561
   Signal Mountain,35.1448,-85.3457,8573
   Kingaroy,-26.539,151.8406,8573
   Beaver Falls,40.762,-80.3225,8581
   Clinton,38.3716,-93.7679,8581
   Ladue,38.6378,-90.3815,8583
   Livingston,45.6667,-110.5537,8586
   Corrales,35.2367,-106.6197,8586
   Pineville,35.0864,-80.8915,8593
   Lake Park,26.7998,-80.0689,8595
   Wesley Chapel,34.9985,-80.6904,8596
   Hobart,44.4965,-88.1602,8599
   Wood-Ridge,40.8509,-74.0878,8600
   Southside,33.9007,-86.0237,8600
   Monroe,41.3198,-74.1848,8600
   Lake City,33.8676,-79.7533,8604
   Kearney,39.3548,-94.3589,8607
   Clayton,39.6629,-75.0782,8614
   Calimesa,33.9873,-117.0542,8616
   Monett,36.9219,-93.9263,8617
   Robertsdale,30.5533,-87.706,8629
   Princeton,38.3552,-87.5785,8632
   Rockland,44.1274,-69.1369,8633
   Suntar,62.1444,117.6319,8639
   Kirby,29.4611,-98.3859,8640
   Fair Oaks Ranch,29.7454,-98.6396,8645
   Bloomfield,36.7265,-107.9792,8645
   La Libertad,16.7804,-90.12,8646
   Clarendon Hills,41.7981,-87.9569,8653
   Perryville,37.7255,-89.876,8655
   Park Hills,37.8211,-90.505,8655
   Luba,3.45,8.55,8655
   Gadabay,40.5656,45.8161,8657
   Nevada,37.8445,-94.3492,8660
   Bay Minette,30.8938,-87.7912,8665
   Basalt,39.3663,-107.0412,8672
   Frostburg,39.6507,-78.9271,8676
   Altdorf,46.879,8.638,8678
   Sultan,47.8703,-121.8036,8681
   Commerce,33.242,-95.8999,8685
   Buckhannon,38.9927,-80.2279,8688
   Palm Beach,26.6928,-80.0405,8690
   Laurel,45.6734,-108.7707,8690
   Orrville,40.8482,-81.7747,8691
   East Grand Forks,47.9283,-97.0137,8699
   Closter,40.9733,-73.9606,8705
   Riverdale,41.1734,-112.0024,8710
   Al Quwayiyah,24.0737,45.2806,8712
   La Grange,38.3988,-85.375,8722
   Corozal,18.398,-88.388,8724
   Audubon,39.8906,-75.0723,8727
   Itasca,41.9773,-88.0181,8728
   Scott,30.2394,-92.0949,8733
   Moundsville,39.9221,-80.7422,8741
   Riverside,41.831,-87.8169,8748
   Edgewood,39.0091,-84.5604,8748
   Tocantinopolis,-6.3196,-47.42,8750
   Carencro,30.3115,-92.0385,8752
   West Frankfort,37.8997,-88.9302,8756
   Helotes,29.5701,-98.6947,8758
   Clinton,35.5058,-98.9724,8761
   Marrupa,-13.1984,37.4995,8762
   Collingdale,39.9151,-75.2776,8765
   Sellersburg,38.4029,-85.7705,8765
   Lexington,37.7825,-79.444,8765
   Burlington,48.4676,-122.3298,8768
   Rhinelander,45.6361,-89.4255,8769
   Swissvale,40.4207,-79.8858,8769
   Needles,34.816,-114.6192,8773
   Buyant-Uhaa,44.8666,110.15,8776
   Cresskill,40.9405,-73.9597,8777
   Pike Road,32.2909,-86.0917,8777
   South Amboy,40.4851,-74.2831,8778
   Nueva Ocotepeque,14.437,-89.182,8780
   Shannon,52.7038,-8.8641,8781
   Port Townsend,48.1219,-122.7873,8782
   Orange Park,30.1706,-81.704,8783
   Lake Villa,42.4184,-88.0834,8783
   Seaside,45.9894,-123.9213,8788
   Tallulah,32.4067,-91.1916,8790
   New Richmond,45.1225,-92.5341,8791
   Harrodsburg,37.7655,-84.8474,8797
   Quakertown,40.4398,-75.3456,8798
   Mokhotlong,-29.291,29.078,8809
   Waverly,42.725,-92.4706,8812
   Lake Elmo,44.9944,-92.9032,8815
   West Point,33.6064,-88.6571,8827
   Sitia,35.2004,26.0986,8833
   Woodway,31.4987,-97.2315,8835
   Navasota,30.3869,-96.0895,8845
   Matawan,40.4126,-74.2365,8848
   Hillview,38.055,-85.6793,8851
   Jerseyville,39.118,-90.3276,8852
   Hazard,37.2583,-83.1977,8853
